bloque,num_bloque,respuesta,enunciado
especifico,1,,¿Qué capa del modelo OSI se relaciona con la transmisión de bits puros a través de un canal de transmisión?
especifico,2,,"¿Qué capa del modelo OSI ofrece los servicios: control del diálogo, manejo de tokens y sincronización?"
especifico,3,,¿Qué capa del modelo OSI determina cómo se encaminan los paquetes desde el origen al destino?
especifico,4,,¿En qué capa del modelo TCP/IP se define el protocolo SMTP?
especifico,5,,¿Cuál de los siguientes protocolos encuadrarías en la capa interred del modelo TCP/IP?
especifico,6,,¿Qué capa del modelo OSI se encargaría de la siguiente tarea?: El emisor divide los datos de entrada en tramas de datos y transmite las tramas en forma secuencial.
especifico,7,,¿Cuál de los siguientes protocolos encuadrarías en la capa de transporte del modelo de referencia TCP/IP?
especifico,8,,¿Cuál es el orden correcto de las capas del modelo de referencia OSI?
especifico,9,,¿Qué capa del modelo de referencia OSI tiene como función principal dividir los datos que recibe de la capa de red en tramas que pueden ser transmitidas por la capa física?
especifico,10,,¿A qué capa del modelo de referencia OSI corresponden los protocolos Ethernet y Point-to-Point Protocol (PPP)?
especifico,11,,"En una arquitectura de comunicaciones como OSI y TCP/IP, ¿cómo se lleva a cabo la interacción entre entidades que están en la misma capa pero en diferentes equipos?"
especifico,12,,"La arquitectura de protocolos OSI tiene 7 capas, mientras que la TCP/IP tiene solo 5. ¿Qué implica esta reducción?"
especifico,13,,"En el contexto del modelo OSI, la distinción entre “servicio”, “interfaz” y “protocolo” implica que:"
especifico,14,,Las unidades de datos que se intercambian en el nivel 2 (capa de conexión o enlace de datos) se denominan:
especifico,15,,Para identificar unívocamente un servicio en un entorno de comunicaciones TCP/IP se requiere:
especifico,16,,El modelo de referencia OSI para la interconexión de sistemas abiertos está estructurado en:
especifico,17,,¿Qué función realiza la capa de transporte en el modelo OSI?
especifico,18,,"En el modelo OSI, la arquitectura por niveles tiene como objetivo principal:"
especifico,19,,"En el proceso de encapsulación descrito en TCP/IP, el orden correcto al enviar datos desde una aplicación es:"
especifico,20,,"En el modelo OSI, la comunicación entre capas homólogas es:"
especifico,21,,"Según el modelo OSI, ¿cuál es la función principal del nivel de transporte?"
especifico,22,,"En la comparación estructural entre OSI y TCP/IP, una diferencia clave es que:"
especifico,23,,"En el modelo OSI, el concepto de “servicio” hace referencia a:"
especifico,24,,"En TCP/IP, el protocolo IP pertenece al nivel que en el modelo OSI corresponde principalmente a:"
especifico,25,,"En una LAN, ¿en qué tipo de transmisiones se utiliza el código de línea 4B5B?"
especifico,26,,¿En qué topología de redes LAN cableadas tiene sentido la utilización de un switch?
especifico,27,,¿Qué medio de transmisión está permitido si se emplea el esquema de banda base 1000Base-SX?
especifico,28,,¿En qué variante de la norma IEEE 802.11 se usa MIMO (Multiple -Input Multiple- Output)?
especifico,29,,¿Qué dos protocolos se definen en el denominado MAC inalámbrico de principio distribuido (DFWMAC – Distributed Foundation Wireless MAC) para realizar contención y sondeo a fin de posibilitar un acceso distribuido con un control central opcional?
especifico,30,,¿Cuál de estas técnicas sirve para corregir errores ocurridos durante la transmisión de una trama?
especifico,31,,¿Qué campos contiene una trama 802.3?
especifico,32,,¿Cuál de estas afirmaciones acerca de las direcciones MAC es correcta?
especifico,33,,¿Qué ofrece el protocolo de transporte UDP?
especifico,34,,La familia de estándares IEEE 802.11 corresponde a:
especifico,35,,¿Cuál de estos protocolos ofrece un servicio de intercambio de paquetes (datagramas) entre dos equipos conectados a Internet?
especifico,36,,En una red Ethernet capturamos una trama con información correspondiente a HTTP. ¿Cuál de estas afirmaciones es correcta?
especifico,37,,¿Sobre qué medios físicos pueden funcionar las redes Ethernet (802.3)?
especifico,38,,Las tecnologías de transmisión Frame Relay y ATM se engloban dentro de:
especifico,39,,Los métodos de conmutación más importantes en redes de comunicación de datos no incluyen:
especifico,40,,¿Qué característica distingue a una red LAN frente a una WAN?
